Country Name,Year,GDP_per_capita,Life_Expectancy,Healthcare_Spending
Bangladesh,2000,396.670730249751,62.049,8.27585602
Germany,2000,23925.8559901991,77.9268292682927,2344.41088867
Ethiopia,2000,122.269202606069,50.88,5.28970861
India,2000,442.750218937263,62.749,18.47883415
Japan,2000,39169.3595701504,81.0760975609756,2751.38452148
"Korea, Rep.",2000,12710.2995795579,75.909756097561,475.2520752
Sri Lanka,2000,860.199884304769,71.179,42.54893112
Nigeria,2000,547.318298903379,47.143,17.15887642
Norway,2000,38178.2368777076,78.6341463414634,2948.93164063
Pakistan,2000,642.338346499898,61.903,15.36755657
Singapore,2000,23852.8389514753,77.9512195121951,796.03100586
United States,2000,36329.9560727102,76.6365853658537,4548.5546875
Bangladesh,2001,394.65641001891,62.836,8.10025787
Germany,2001,23878.3641471651,78.3292682926829,2346.66918945
Ethiopia,2001,118.457204255261,51.428,5.50955105
India,2001,450.357900514128,63.158,19.74444199
Japan,2001,34406.1824638092,81.4163414634146,2488.65185547
"Korea, Rep.",2001,11981.4828218758,76.4121951219512,503.15795898
Sri Lanka,2001,803.544026627385,71.804,39.87185287
Nigeria,2001,566.428231812933,47.549,17.96053314
Norway,2001,38601.897639231,78.7853658536585,3099.00341797
Pakistan,2001,609.939506905073,62.241,13.41587162
Singapore,2001,21699.7414868907,78.2512195121951,690.01330566
United States,2001,37133.623113437,76.8365853658537,4901.67529297
Bangladesh,2002,393.886422327628,63.591,9.05402279
Germany,2002,25486.5942008748,78.2292682926829,2567.50292969
Ethiopia,2002,109.593813612988,52.085,5.14964151
India,2002,469.149928973927,63.649,20.15651703
Japan,2002,32820.7936433254,81.6907317073171,2412.35131836
"Korea, Rep.",2002,13642.9424537101,76.7658536585366,537.16113281
Sri Lanka,2002,834.936014905338,72.271,41.24043274
Nigeria,2002,712.164852077686,48.02,17.53752899
Norway,2002,43170.557174499,78.9878048780488,3889.95947266
Pakistan,2002,599.937345723927,62.556,14.98332214
Singapore,2002,22159.8373710639,78.5512195121951,749.44445801
United States,2002,37997.7596573051,76.9365853658537,5327.93701172
Bangladesh,2003,426.74880754362,64.288,9.98434258
Germany,2003,30711.1022511331,78.3804878048781,3152.79418945
Ethiopia,2003,116.800491132777,52.877,5.70984173
India,2003,544.143133545002,64.086,21.89380074
Japan,2003,35387.0374203599,81.76,2650.23852539
"Korea, Rep.",2003,15211.5483770422,77.2146341463415,685.28436279
Sri Lanka,2003,946.382255128072,72.442,40.82443619
Nigeria,2003,763.388745367223,48.618,37.91439438
Norway,2003,50250.3298214345,79.390243902439,4632.56835938
Pakistan,2003,672.44178669894,62.834,14.34851551
Singapore,2003,23730.3840054566,79.0390243902439,851.10961914
United States,2003,39490.2749557007,77.0365853658537,5732.24365234
Bangladesh,2004,455.614016909798,64.912,10.78997898
Germany,2004,34566.7359143735,78.6804878048781,3459.82495117
Ethiopia,2004,133.169812538096,53.735,5.7385993
India,2004,624.258826510066,64.484,24.9240799
